[2019-06-24T14:07:50.182+0000][1][safepoint    ] Application time: 0.0000795 seconds
[2019-06-24T14:07:50.182+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:50.182+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:50.182+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0000405 seconds, Stopping threads took: 0.0000103 seconds
[2019-06-24T14:07:50.183+0000][1][safepoint    ] Application time: 0.0000528 seconds
[2019-06-24T14:07:50.183+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:50.183+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:50.183+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0000413 seconds, Stopping threads took: 0.0000103 seconds
[2019-06-24T14:07:50.183+0000][1][safepoint    ] Application time: 0.0000605 seconds
[2019-06-24T14:07:50.183+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:50.183+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:50.183+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0000525 seconds, Stopping threads took: 0.0000232 seconds
[2019-06-24T14:07:50.183+0000][1][safepoint    ] Application time: 0.0000523 seconds
[2019-06-24T14:07:50.183+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:50.183+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:50.183+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0000350 seconds, Stopping threads took: 0.0000096 seconds
[2019-06-24T14:07:50.183+0000][1][safepoint    ] Application time: 0.0001033 seconds
[2019-06-24T14:07:50.183+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:50.183+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:50.183+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0000380 seconds, Stopping threads took: 0.0000097 seconds
[2019-06-24T14:07:50.183+0000][1][safepoint    ] Application time: 0.0000521 seconds
[2019-06-24T14:07:50.183+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:50.183+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:50.183+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0000363 seconds, Stopping threads took: 0.0000094 seconds
[2019-06-24T14:07:50.183+0000][1][safepoint    ] Application time: 0.0000573 seconds
[2019-06-24T14:07:50.183+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:50.183+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:50.183+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0000351 seconds, Stopping threads took: 0.0000092 seconds
[2019-06-24T14:07:50.183+0000][1][safepoint    ] Application time: 0.0000506 seconds
[2019-06-24T14:07:50.183+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:50.183+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:50.183+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0000363 seconds, Stopping threads took: 0.0000097 seconds
[2019-06-24T14:07:50.183+0000][1][safepoint    ] Application time: 0.0000584 seconds
[2019-06-24T14:07:50.183+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:50.183+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:50.183+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0000361 seconds, Stopping threads took: 0.0000098 seconds
[2019-06-24T14:07:50.183+0000][1][safepoint    ] Application time: 0.0000513 seconds
[2019-06-24T14:07:50.183+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:50.184+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:50.184+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0000354 seconds, Stopping threads took: 0.0000097 seconds
[2019-06-24T14:07:50.184+0000][1][safepoint    ] Application time: 0.0002880 seconds
[2019-06-24T14:07:50.184+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:50.184+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:50.184+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0000743 seconds, Stopping threads took: 0.0000168 seconds
[2019-06-24T14:07:50.184+0000][1][safepoint    ] Application time: 0.0000526 seconds
[2019-06-24T14:07:50.184+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:50.184+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:50.184+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0000372 seconds, Stopping threads took: 0.0000096 seconds
[2019-06-24T14:07:50.184+0000][1][safepoint    ] Application time: 0.0000889 seconds
[2019-06-24T14:07:50.184+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:50.184+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:50.184+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0000501 seconds, Stopping threads took: 0.0000232 seconds
[2019-06-24T14:07:50.184+0000][1][safepoint    ] Application time: 0.0000503 seconds
[2019-06-24T14:07:50.184+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:50.184+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:50.184+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0000356 seconds, Stopping threads took: 0.0000096 seconds
[2019-06-24T14:07:50.986+0000][1][safepoint    ] Application time: 0.8013604 seconds
[2019-06-24T14:07:50.986+0000][1][safepoint    ] Entering safepoint region: Deoptimize
[2019-06-24T14:07:50.986+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:50.986+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0004727 seconds, Stopping threads took: 0.0000496 seconds
[2019-06-24T14:07:51.449+0000][1][safepoint    ] Application time: 0.4629879 seconds
[2019-06-24T14:07:51.449+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:51.449+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:51.449+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0002573 seconds, Stopping threads took: 0.0000345 seconds
[2019-06-24T14:07:51.775+0000][1][safepoint    ] Application time: 0.3251416 seconds
[2019-06-24T14:07:51.775+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:51.775+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:51.775+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0002002 seconds, Stopping threads took: 0.0000728 seconds
[2019-06-24T14:07:51.779+0000][1][safepoint    ] Application time: 0.0036752 seconds
[2019-06-24T14:07:51.779+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:51.779+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:51.779+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0001721 seconds, Stopping threads took: 0.0000767 seconds
[2019-06-24T14:07:51.876+0000][1][safepoint    ] Application time: 0.0967560 seconds
[2019-06-24T14:07:51.876+0000][1][safepoint    ] Entering safepoint region: GenCollectForAllocation
[2019-06-24T14:07:51.876+0000][1][gc,start     ] GC(1) Pause Young (Allocation Failure)
[2019-06-24T14:07:51.876+0000][1][gc,task      ] GC(1) Using 5 workers of 8 for evacuation
[2019-06-24T14:07:51.936+0000][1][gc,age       ] GC(1) Desired survivor size 4456448 bytes, new threshold 6 (max threshold 6)
[2019-06-24T14:07:51.936+0000][1][gc,age       ] GC(1) Age table with threshold 6 (max threshold 6)
[2019-06-24T14:07:51.936+0000][1][gc,age       ] GC(1) - age   1:    1988528 bytes,    1988528 total
[2019-06-24T14:07:51.936+0000][1][gc,heap      ] GC(1) ParNew: 77673K->5055K(78656K)
[2019-06-24T14:07:51.936+0000][1][gc,heap      ] GC(1) CMS: 0K->6636K(174784K)
[2019-06-24T14:07:51.936+0000][1][gc,metaspace ] GC(1) Metaspace: 14648K->14648K(1062912K)
[2019-06-24T14:07:51.936+0000][1][gc           ] GC(1) Pause Young (Allocation Failure) 75M->11M(247M) 60.034ms
[2019-06-24T14:07:51.936+0000][1][gc,cpu       ] GC(1) User=0.11s Sys=0.00s Real=0.06s
[2019-06-24T14:07:51.936+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:51.936+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0602453 seconds, Stopping threads took: 0.0000447 seconds
[2019-06-24T14:07:51.937+0000][1][safepoint    ] Application time: 0.0014128 seconds
[2019-06-24T14:07:51.946+0000][1][safepoint    ] Entering safepoint region: BulkRevokeBias
[2019-06-24T14:07:51.947+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:51.947+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0090199 seconds, Stopping threads took: 0.0088876 seconds
[2019-06-24T14:07:51.949+0000][1][safepoint    ] Application time: 0.0026580 seconds
[2019-06-24T14:07:51.949+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:51.949+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:51.949+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0000879 seconds, Stopping threads took: 0.0000206 seconds
[2019-06-24T14:07:51.949+0000][1][safepoint    ] Application time: 0.0000531 seconds
[2019-06-24T14:07:51.949+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:51.949+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:51.949+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0000571 seconds, Stopping threads took: 0.0000123 seconds
[2019-06-24T14:07:51.950+0000][1][safepoint    ] Application time: 0.0000588 seconds
[2019-06-24T14:07:51.950+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:51.950+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:51.950+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0000544 seconds, Stopping threads took: 0.0000119 seconds
[2019-06-24T14:07:51.950+0000][1][safepoint    ] Application time: 0.0000434 seconds
[2019-06-24T14:07:51.950+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:51.950+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:51.950+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0000502 seconds, Stopping threads took: 0.0000115 seconds
[2019-06-24T14:07:51.950+0000][1][safepoint    ] Application time: 0.0000682 seconds
[2019-06-24T14:07:51.950+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:51.950+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:51.950+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0000486 seconds, Stopping threads took: 0.0000114 seconds
[2019-06-24T14:07:51.950+0000][1][safepoint    ] Application time: 0.0000454 seconds
[2019-06-24T14:07:51.950+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:51.950+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:51.950+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0000471 seconds, Stopping threads took: 0.0000110 seconds
[2019-06-24T14:07:51.950+0000][1][safepoint    ] Application time: 0.0000512 seconds
[2019-06-24T14:07:51.950+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:51.950+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:51.950+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0000492 seconds, Stopping threads took: 0.0000117 seconds
[2019-06-24T14:07:51.950+0000][1][safepoint    ] Application time: 0.0000443 seconds
[2019-06-24T14:07:51.950+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:51.950+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:51.950+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0000480 seconds, Stopping threads took: 0.0000107 seconds
[2019-06-24T14:07:51.950+0000][1][safepoint    ] Application time: 0.0000509 seconds
[2019-06-24T14:07:51.950+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:51.950+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:51.950+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0000515 seconds, Stopping threads took: 0.0000114 seconds
[2019-06-24T14:07:51.950+0000][1][safepoint    ] Application time: 0.0000457 seconds
[2019-06-24T14:07:51.950+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:51.950+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:51.950+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0000567 seconds, Stopping threads took: 0.0000121 seconds
[2019-06-24T14:07:51.951+0000][1][safepoint    ] Application time: 0.0000623 seconds
